network_size,ring_size,128_security,total_time,model_enc_time,data_enc_time,fwd_time,bwd_time,bs_time

64-32-32,32,False,77.352,0.308,0.296,2.652,10.027,64.069
128-64-64,32,False,80.086,0.288,0.344,3.097,10.120,66.237

64-32-32,64,True,202.292,0.383,0.511,4.465,9.768,187.165
128-64-64,64,True,212.638,0.359,0.465,5.388,29.324,177.102
256-128-128,64,True,209.196,0.369,0.753,5.262,18.479,184.333
512-64-64,64,True,198.023,0.385,0.500,4.484,17.620,175.034

256-256-256,128,True,486.933,0.844,0.959,10.992,39.564,434.574
512-128-128,128,True,471.370,0.812,1.397,11.109,34.490,423.562
